名称,销售量,销售额,商品单价,是否促销
蔬果,1.821,5.79,3.18,否
粮油,12,38.4,3.2,否
休闲,1,3.5,3.5,否
粮油,1,7.9,7.9,否
蔬果,0.515,4.11,7.98,否
肉禽,1.41,58.94,41.8,否
酒饮,2,22.6,11.3,否
日配,12,63.6,5.3,否
蔬果,0.986,5.48,5.56,否
粮油,1,5.3,5.3,否
休闲,1,17.9,17.9,否
休闲,1,7.5,7.5,否
粮油,1,3,3,否
洗化,1,7.9,7.9,否
日配,16,24.9,2.1,是
粮油,1,2.3,2.3,否
蔬果,1.13,11.28,9.98,否
洗化,1,42.9,42.9,否
休闲,1,14.9,14.9,否
休闲,1,10.5,10.5,否
蔬果,0.296,1.65,5.56,否
日配,0.818,5.55,6.78,否
洗化,1,9.9,9.9,否
洗化,1,15.9,24.9,是
日配,1,7.9,10.3,是
冲调,1,20.9,20.9,否
酒饮,1,3.9,3.9,否
肉禽,0.558,15.51,27.8,否
蔬果,0.81,6.16,7.6,否
休闲,1,14.3,14.3,否
蔬果,1.025,2.62,2.56,否
蔬果,0.537,1.39,2.58,否
粮油,0.546,7.53,13.8,否
休闲,1,3.9,3.9,否
洗化,1,3.9,3.9,否
洗化,1,6.9,9.7,是
蔬果,0.292,2.68,7.8,否
蔬果,0.296,2.31,7.8,否
蔬果,1.997,7.91,3.96,否
蔬果,0.222,1.33,5.98,否
烘焙,0.328,5.25,16,否
休闲,1,4.3,4.3,否
蔬果,0.704,4.62,6.56,否
酒饮,1,1.9,2.5,是
蔬果,0.666,4.37,6.56,否
蔬果,0.973,6.21,23,否
蔬果,2,3,1.5,否
酒饮,1,4.5,4.5,否
粮油,1,11.3,11.3,否
洗化,1,8.9,8.9,否
蔬果,1,1.5,1.5,否
粮油,1,1.3,1.3,否
休闲,0.258,5.11,19.8,否
休闲,1,2,2,否
休闲,1,3.9,3.9,否
休闲,0.212,2.91,19.8,是
蔬果,4,8,2,否
休闲,1,10.9,10.9,否
洗化,3,29.7,9.9,否
蔬果,0.882,14.11,16,否
日配,16,44.8,2.8,否
冲调,1,3,3,否
休闲,0.128,6.91,54,否
蔬果,0.298,2.68,9,否
粮油,1,3,3,否
蔬果,0.116,1.04,9,否
文体,2,1,0.5,否
蔬果,0.82,1.48,1.8,否
蔬果,1,30,30,否
蔬果,1.748,31.11,17.8,否
休闲,0.33,3.87,13.8,是
休闲,0.13,9.23,71,否
洗化,1,18.9,18.9,否
日配,1,6.9,6.9,否
酒饮,1,4.3,4.3,否
粮油,1,19.9,19.9,否
肉禽,0.418,7.94,19,否
蔬果,0.166,0.83,5,否
休闲,0.262,15.46,59,否
日配,1,10.9,12.9,是
休闲,1,4.5,4.5,否
蔬果,1.082,2.77,2.56,否
蔬果,1.796,5.71,3.18,否
粮油,1,2.9,2.9,否
休闲,1,4,4.5,否
熟食,0.001,0.02,20,否
日配,1,9.9,15.9,是
酒饮,1,6,6,否
蔬果,0.334,1.32,3.96,否
蔬果,0.618,10.88,17.6,否
日配,12,49,5.5,是
蔬果,0.676,5.39,7.98,否
日配,1,11.9,11.9,否
休闲,1,5.7,5.7,否
日配,1,16.3,16.3,否
蔬果,0.39,0.77,1.98,否
粮油,1,15.9,15.9,否
休闲,1,4,4,否
休闲,1,10.4,10.4,否
日配,0.534,13.71,32.6,是
粮油,0.35,6.93,37.8,是
冲调,1,81.9,81.9,否
休闲,1,4.2,4.2,否
熟食,8,4,0.5,否
休闲,1,3.9,4.9,是
日配,0.94,6.37,6.78,否
蔬果,1.038,2.66,2.56,否
粮油,1,87.9,87.9,否
休闲,1,3.7,3.7,否
洗化,1,6.9,6.9,否
酒饮,1,5.5,7.5,是
酒饮,1,4.9,4.9,否
蔬果,0.352,0.9,2.56,否
休闲,1,3.9,3.9,否
休闲,1,7.9,11.9,是
休闲,1,4.9,4.9,否
日配,1,16.3,16.3,否
肉禽,0.42,11.68,27.8,否
蔬果,0.752,1.2,1.6,否
粮油,1,13.9,17.3,否
休闲,1,5.2,5.2,否
粮油,1,7.3,7.3,否
蔬果,0.892,8.9,9.98,否
粮油,1,8.9,8.9,否
休闲,1,14.9,14.9,否
酒饮,1,5,5,否
蔬果,0.23,1.33,5.8,否
蔬果,0.14,2.52,18,否
熟食,4,4,1,否
粮油,1,2.5,2.5,否
针织,1,8,8,否
蔬果,1,4.98,4.98,否
蔬果,1.27,15.21,11.98,否
粮油,1,3,3,否
粮油,1,19.9,19.9,否
粮油,2,13.8,6.9,否
休闲,1,8.9,8.9,否
蔬果,0.304,1.76,5.8,否
粮油,0.346,6.85,19.8,否
蔬果,0.304,1.99,6.56,否
休闲,1,1,1,否
冲调,1,3,3,否
粮油,1,3.9,3.9,否
蔬果,1.184,1.87,2.56,否
蔬果,0.418,0.83,1.98,否
日配,1.756,11.91,6.78,否
蔬果,2.266,13.51,5.96,否
日配,1,59,76,是
蔬果,0.781,2.01,2.58,否
粮油,1,5.9,5.9,否
蔬果,0.182,1.02,5.6,否
蔬果,0.454,1.73,3.8,否
粮油,1,5.9,5.9,否
休闲,1,3.7,3.7,否
酒饮,1,32,32,否
日配,12,49,5.5,是
休闲,0.172,6.5,37.8,否
休闲,1,5.5,5.5,否
日配,1,14.3,14.3,否
酒饮,1,4.9,4.9,否
洗化,1,10.9,10.9,否
休闲,1,19.9,19.9,否
休闲,1,8.5,8.5,否
粮油,1,6.9,6.9,否
洗化,1,7.9,7.9,否
蔬果,0.305,2.07,5.6,否
蔬果,0.718,1.84,2.56,否
蔬果,0.176,2.96,16.8,否
熟食,2,2,1,否
休闲,1,3.7,3.7,否
休闲,1,3.3,3.3,否
粮油,1,21.8,21.8,否
休闲,1,8.7,8.7,否
蔬果,0.22,2.11,9.6,否
酒饮,1,2.8,2.8,否
蔬果,1.066,2.75,2.58,否
休闲,1,3.3,3.3,否
日配,0.816,5.53,6.78,否
休闲,0.084,5.96,71,否
酒饮,1,4.7,4.7,否
蔬果,1,5.8,5.8,否
文体,1,3.3,3.3,否
蔬果,2.216,13.21,5.96,否
休闲,1,5.9,5.9,否
休闲,1,5.3,5.3,否
休闲,1,3.9,3.9,否
肉禽,0.682,18.96,27.8,否
休闲,1,3.3,3.3,否
休闲,1,4,4,否
酒饮,1,10.5,10.5,否
粮油,1,3.8,3.8,否
蔬果,0.446,7.85,17.6,否
蔬果,1.55,18.57,11.98,否
洗化,1,3,3,否
粮油,1,2.7,2.7,否
蔬果,0.984,9.82,9.98,否
日配,0.742,5.03,6.78,否
休闲,1,4.5,4.5,否
肉禽,0.254,9.09,35.8,否
休闲,1,8.3,8.3,否
休闲,3,59.7,19.9,否
洗化,1,7.9,9.9,是
洗化,1,12.9,14.5,是
休闲,1,3.7,3.7,否
日配,1,11.5,11.5,否
休闲,1,2.5,2.5,否
家居,1,4.5,4.5,否
休闲,0.178,2.45,19.8,是
蔬果,0.674,1.74,2.58,否
熟食,0.41,2.46,6,否
休闲,1,4.7,4.7,否
休闲,1,2.7,2.7,否
洗化,1,12.9,14.5,是
熟食,2,2,1,否
蔬果,0.908,4.54,5,否
粮油,1,8.5,8.5,否
蔬果,0.198,3.56,18,否
蔬果,1.074,7.5,6.98,否
粮油,1,3.7,3.7,否
蔬果,0.71,3.55,5,否
日配,1,7.9,10.3,是
日配,1,19.3,19.3,否
休闲,1,3.7,3.7,否
洗化,1,6.9,9.7,是
洗化,1,12.9,14.5,是
粮油,1,9.9,9.9,否
蔬果,2.962,7.58,2.56,否
酒饮,1,6.9,6.9,否
蔬果,0.658,1.68,2.56,否
蔬果,0.786,2.03,2.58,否
粮油,1,8.2,8.2,否
酒饮,1,5.7,5.7,否
休闲,1,3.7,3.7,否
洗化,1,1.9,1.9,否
日配,0.804,5.45,6.78,否
肉禽,0.368,6.48,17.6,否
粮油,1,3.7,3.7,否
肉禽,1.184,30.31,25.6,否
蔬果,1.696,5.39,3.18,否
休闲,1,4.5,4.5,否
粮油,1,41.9,49.9,是
粮油,1,7.9,7.9,否
休闲,1,2.5,2.5,否
粮油,1,5.9,5.9,否
洗化,1,2.9,2.9,否
蔬果,0.228,2.19,9.6,否
蔬果,0.34,3.06,9,否
休闲,1,20,20,否
休闲,1,12,12,否
洗化,1,6.7,6.7,否
酒饮,20,70,3.5,否
蔬果,0.372,2.16,5.8,否
蔬果,1.168,2.99,2.56,否
日配,1,11.5,16.5,是
蔬果,1.327,3.4,2.56,否
休闲,0.21,3.3,23.8,是
日配,1,7.3,7.3,否
蔬果,1.206,21.23,17.6,否
蔬果,1.732,4.43,2.56,否
洗化,1,5.6,6.3,是
休闲,1,1,1,否
日配,1,13.9,16.3,是
粮油,1,6.7,6.7,否
休闲,0.638,37.64,59,否
粮油,1,6.5,6.7,否
日配,1,13.9,16.3,是
日配,1.868,12.67,6.78,否
蔬果,0.538,3.01,5.6,否
蔬果,0.318,2.07,7.96,否
洗化,1,4.9,4.9,否
熟食,0.142,12.78,90,否
休闲,1,2.3,2.3,否
休闲,1,5.9,5.9,否
休闲,1,5.3,6,否
粮油,1,7.3,7.3,否
休闲,0.354,4.17,13.8,是
蔬果,0.408,2.68,6.56,否
休闲,0.062,5.44,87.8,否
粮油,0.544,3.7,6.8,否
粮油,1,3.9,3.9,否
肉禽,0.6,17.88,29.8,否
蔬果,2,7.96,3.98,否
蔬果,0.338,3.24,9.6,否
日配,1,66,66,否
肉禽,0.222,6.17,27.8,否
蔬果,0.98,5.84,5.96,否
休闲,1,10.9,10.9,否
洗化,1,7.7,7.7,否
粮油,1,5.3,5.3,否
日配,1,14.9,14.9,否
蔬果,1.098,30.52,27.8,否
粮油,1,7.3,7.3,否
蔬果,0.204,1.13,2,否
休闲,1,7.9,11.9,是
粮油,1,2.7,2.7,否
蔬果,0.17,1.53,9,否
蔬果,2,3,1.5,否
粮油,1,16.3,16.3,否
休闲,1,5.5,5.5,否
蔬果,1.56,15.6,10,否
休闲,1,10.9,10.9,否
休闲,0.058,6.79,117,否
休闲,1,3.5,3.5,否
粮油,1,3.7,3.7,否
蔬果,0.296,1.05,3.56,否
休闲,1,5.2,5.2,否
家电,1,38,38,否
休闲,1,10.5,16.9,是
休闲,1,7.9,7.9,否
日配,0.352,6.9,19.6,否
日配,1,10.9,12.9,是
休闲,1,9.3,9.3,否
蔬果,0.668,1.72,2.58,否
蔬果,0.258,1.02,3.96,否
休闲,1,3.7,3.7,否
休闲,0.202,2.38,11.8,否
日配,16,33.9,2.7,是
洗化,1,14.7,14.7,否
冲调,1,15.9,22.7,是
洗化,1,18.9,24.9,是
蔬果,0.196,1.18,6,否
休闲,1,2.9,2.9,否
蔬果,0.468,2.34,5,否
蔬果,0.367,2.04,5.56,否
蔬果,2,9.96,4.98,否
蔬果,1.035,2.67,2.58,否
洗化,1,7.9,9.5,是
洗化,1,2.9,4.7,是
蔬果,0.373,0.96,2.58,否
蔬果,0.396,1.02,2.58,否
蔬果,1.09,61.04,56,否
粮油,1,1.9,1.9,否
酒饮,1,1.9,1.9,否
蔬果,0.467,1.2,2.58,否
熟食,0.388,34.92,90,否
蔬果,1,1.5,1.5,否
休闲,1,7.9,7.9,否
休闲,1,2.5,2.5,否
肉禽,0.486,9.53,19.6,否
家居,1,4.5,4.5,否
日配,1,13.9,16.3,是
蔬果,0.964,5.75,5.96,否
粮油,1,6.9,6.9,否
蔬果,0.349,1.03,2.96,否
蔬果,1,1.5,1.5,否
蔬果,0.786,3.14,4,否
休闲,0.48,19.1,39.8,否
蔬果,0.9,16.02,17.8,否
洗化,1,14.9,14.9,否
蔬果,0.284,2.56,9,否
休闲,1,3.5,3.5,否
蔬果,2,3,1.5,否
肉禽,0.174,5.19,29.8,否
粮油,2.556,14.26,5.58,否
日配,0.36,6.41,17.8,否
休闲,1,9.9,9.9,否
冲调,1,3.8,3.8,否
蔬果,0.104,0.81,7.8,否
熟食,2,2,1,否
粮油,1,13.3,13.3,否
粮油,4.59,19.28,4.2,否
日配,1,13.9,13.9,否
文体,1,6.7,6.7,否
熟食,0.394,14.03,35.6,否
休闲,0.336,5.3,25.8,是
休闲,1,8.5,8.5,否
休闲,0.154,5.21,33.8,否
休闲,0.222,7.5,33.8,否
粮油,1,2.3,2.3,否
休闲,1,5.3,5.3,否
